timestamp,catchment_precip_mm,valid_grid_fraction,source_product
2024-07-02 10:00:00+00:00,1.256,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 11:00:00+00:00,0.652,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 12:00:00+00:00,0.409,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 13:00:00+00:00,0.671,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 14:00:00+00:00,0.349,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 15:00:00+00:00,0.211,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 16:00:00+00:00,0.065,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 17:00:00+00:00,0.264,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 18:00:00+00:00,0.659,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 19:00:00+00:00,0.44,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 20:00:00+00:00,0.845,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 21:00:00+00:00,0.763,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 22:00:00+00:00,0.302,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 23:00:00+00:00,0.729,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 00:00:00+00:00,0.526,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 01:00:00+00:00,0.08,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 02:00:00+00:00,0.016,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 03:00:00+00:00,0.052,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 04:00:00+00:00,0.115,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 05:00:00+00:00,0.088,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 06:00:00+00:00,0.16,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 07:00:00+00:00,0.36,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 08:00:00+00:00,0.459,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 09:00:00+00:00,0.753,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 10:00:00+00:00,0.564,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 11:00:00+00:00,0.384,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 12:00:00+00:00,0.325,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 13:00:00+00:00,0.373,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 14:00:00+00:00,0.163,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 15:00:00+00:00,0.105,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 16:00:00+00:00,0.047,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 17:00:00+00:00,0.037,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 18:00:00+00:00,0.132,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 19:00:00+00:00,0.166,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 20:00:00+00:00,0.098,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 21:00:00+00:00,0.069,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 22:00:00+00:00,0.095,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-03 23:00:00+00:00,0.078,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 00:00:00+00:00,0.025,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 01:00:00+00:00,0.026,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 02:00:00+00:00,0.009,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 03:00:00+00:00,0.013,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 04:00:00+00:00,0.053,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 05:00:00+00:00,0.115,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 06:00:00+00:00,0.185,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 07:00:00+00:00,0.682,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
