time_prototype_s,Q_prototype_m3s,time_model_s,Q_model_m3s,V_inlet_model_ms
167582.0,721841.8736666666,38.2,7.218418736666665,1.99403832504604
167583.0,721867.9654999999,38.3,7.218679654999999,1.9941104019337013
167584.0,721894.0573333333,38.4,7.218940573333333,1.9941824788213627
167585.0,721920.1491666667,38.5,7.2192014916666665,1.9942545557090239
167586.0,721946.2409999999,38.6,7.219462409999999,1.9943266325966849
167587.0,721972.3328333333,38.7,7.219723328333333,1.994398709484346
167588.0,721998.4246666667,38.8,7.219984246666667,1.9944707863720073
167589.0,722024.5164999999,38.9,7.220245164999999,1.994542863259668
167590.0,722050.6083333333,39.0,7.2205060833333325,1.9946149401473294
167591.0,722076.7001666666,39.1,7.220767001666666,1.9946870170349906
167592.0,722102.7919999999,39.2,7.221027919999999,1.9947590939226516
167593.0,722128.8838333333,39.3,7.221288838333333,1.9948311708103128
167594.0,722154.9756666666,39.4,7.221549756666667,1.9949032476979742
167595.0,722181.0675,39.5,7.221810675,1.9949753245856354
167596.0,722207.1593333333,39.6,7.222071593333332,1.9950474014732962
167597.0,722233.2511666666,39.7,7.222332511666666,1.9951194783609574
167598.0,722259.343,39.8,7.22259343,1.9951915552486188
167599.0,722285.4348333332,39.9,7.222854348333333,1.9952636321362798
167600.0,722311.5266666666,40.0,7.2231152666666665,1.995335709023941
167601.0,722337.6185,40.1,7.223376185,1.9954077859116022
167602.0,722363.7103333332,40.2,7.223637103333332,1.995479862799263
167603.0,722389.8021666666,40.3,7.223898021666666,1.9955519396869241
167604.0,722415.894,40.4,7.22415894,1.9956240165745855
167605.0,722441.9858333333,40.5,7.224419858333333,1.9956960934622467
167606.0,722468.0776666666,40.6,7.224680776666666,1.9957681703499077
167607.0,722494.1695,40.7,7.224941694999999,1.9958402472375687
167608.0,722520.2613333333,40.8,7.225202613333333,1.9959123241252301
167609.0,722546.3531666666,40.9,7.225463531666666,1.995984401012891
167610.0,722572.445,41.0,7.2257244499999995,1.9960564779005523
167611.0,722598.5368333333,41.1,7.225985368333333,1.9961285547882135
167612.0,722624.6286666666,41.2,7.226246286666666,1.9962006316758745
167613.0,722650.7204999999,41.3,7.226507204999999,1.9962727085635357
167614.0,722676.8123333333,41.4,7.226768123333333,1.9963447854511969
167615.0,722702.9041666667,41.5,7.2270290416666665,1.996416862338858
167616.0,722728.9959999999,41.6,7.227289959999999,1.996488939226519
167617.0,722755.0878333333,41.7,7.227550878333333,1.9965610161141805
167618.0,722781.1796666667,41.8,7.227811796666667,1.9966330930018417
167619.0,722807.2714999999,41.9,7.228072714999999,1.9967051698895024
167620.0,722833.3633333333,42.0,7.228333633333333,1.9967772467771636
167621.0,722859.4551666667,42.1,7.228594551666666,1.9968493236648248
