SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
96,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,06-10-2022 08:00,0.2
97,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,07-10-2022 08:00,28.6
98,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,07-10-2022 14:00,17.6
99,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,07-10-2022 16:00,21.2
100,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,08-10-2022 08:00,36.6
101,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,08-10-2022 14:00,12.8
102,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,08-10-2022 16:00,18.8
103,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,08-10-2022 18:00,20.6
104,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,09-10-2022 08:00,51.6
105,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,09-10-2022 14:00,21.2
106,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,09-10-2022 16:00,22.6
107,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,10-10-2022 08:00,39.6
108,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,10-10-2022 14:00,6
109,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,10-10-2022 16:00,8
110,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,11-10-2022 08:00,10.4
111,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,15-06-2023 08:00,25.5
112,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,17-06-2023 08:00,4
113,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,19-06-2023 08:00,23
114,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,20-06-2023 08:00,19.4
115,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,22-06-2023 08:00,13.2
116,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,23-06-2023 08:00,21
117,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,24-06-2023 08:00,1.5
118,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,25-06-2023 08:00,29
119,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,25-06-2023 14:00,1
120,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,25-06-2023 17:00,1
121,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,26-06-2023 08:00,4.8
122,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,26-06-2023 14:00,0.8
123,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,26-06-2023 16:00,0.8
124,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,27-06-2023 08:00,0.8
125,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,28-06-2023 08:00,19
126,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,29-06-2023 08:00,17
127,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,30-06-2023 08:00,37.2
128,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,01-07-2023 15:00,3
129,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,02-07-2023 08:00,4
130,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,03-07-2023 08:00,7
131,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,19-06-2024 08:00,0.4
132,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,20-06-2024 08:00,28.4
133,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,23-06-2024 08:00,0.6
134,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,24-06-2024 02:30,0.4
135,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,24-06-2024 08:00,6.6
136,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,30-06-2024 08:00,25.4
137,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,01-07-2024 08:00,72.6
138,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,03-07-2024 08:00,86
139,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,04-07-2024 08:00,31.2
140,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,18-08-2024 15:00,0.2
141,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,27-08-2024 08:00,8
142,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,29-08-2024 08:00,8
143,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,30-08-2024 08:00,61.2
